Eduardo lvarez Aznar,"Equestrianism Mixed Jumping, Individual"
Eduardo lvarez Aznar,"Equestrianism Mixed Jumping, Team"
Elider lvarez Beitar,Boxing Men's Light-Heavyweight
Estefana lvarez Piedrahita,Synchronized Swimming Women's Duet
Francisco lvarez Cutio,Beach Volleyball Men's Beach Volleyball
Francisco Jos lvarez,Gymnastics Men's Parallel Bars
Francisco Jos lvarez,Gymnastics Men's Rings
Francisco Jos lvarez,Gymnastics Men's Club Swinging
Jos Gabriel lvarez Saborio,"Canoeing Men's Kayak Singles, Slalom"
Hctor Alvarez Ayala,"Wrestling Men's Middleweight, Greco-Roman"
Ignacio lvarez Prez,Swimming Men's 100 metres Backstroke
Ignacio lvarez Prez,Swimming Men's 200 metres Backstroke
Ignacio lvarez Prez,Swimming Men's 4 x 100 metres Medley Relay
Isael lvarez Bicez,Boxing Men's Light-Heavyweight
Ivn lvarez Gutirrez,"Cycling Men's Mountainbike, Cross-Country"
Francisco Javier lvarez del Rosario,"Canoeing Men's Kayak Fours, 1,000 metres"
Javier lvarez Salgado,"Athletics Men's 3,000 metres Steeplechase"
Javier lvarez Salgado,"Athletics Men's 5,000 metres"
Javier lvarez Salgado,"Athletics Men's 10,000 metres"
Jorge Luis lvarez Galvez,Rowing Men's Coxless Fours
Jorge Luis lvarez Galvez,Rowing Men's Coxed Eights
Jos lvarez,"Shooting Mixed Free Pistol, 50 metres"
Jos Mara lvarez de las Asturias Bohorques y Goyeneche,"Equestrianism Men's Jumping, Individual"
Jos Mara lvarez de las Asturias Bohorques y Goyeneche,"Equestrianism Men's Jumping, Team"
Jos Rosario lvarez Garca,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
Jos Rosario lvarez Garca,"Shooting Men's Air Rifle, 10 metres"
Jos Rosario lvarez Garca,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
Jos Rosario lvarez Garca,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Jos lvarez Crespo,Football Men's Football
Jos Luis lvarez Alvarez,Rowing Men's Coxed Pairs
Jos Luis lvarez Gil de Tejada,"Fencing Men's Sabre, Individual"
Jos Luis lvarez Gil de Tejada,"Fencing Men's Sabre, Team"
Jos Marcelo lvarez Villalba,"Fencing Men's Foil, Individual"
Jos Marcelo lvarez Villalba,"Fencing Men's epee, Individual"
Jos Miguel lvarez Pozo,Basketball Men's Basketball
Juan Manuel lvarez lvarez,Football Men's Football
Kevin Javier lvarez Hernndez,Football Men's Football
Lzaro Jorge lvarez Estrada,Boxing Men's Bantamweight
Lzaro Jorge lvarez Estrada,Boxing Men's Lightweight
"Elia Mara ""Lil"" Gonzlez-lvarez y Lpez-Chicheri (-de la Valdene)",Tennis Women's Singles
"Elia Mara ""Lil"" Gonzlez-lvarez y Lpez-Chicheri (-de la Valdene)",Tennis Mixed Doubles
"Elia Mara ""Lil"" Gonzlez-lvarez y Lpez-Chicheri (-de la Valdene)",Tennis Women's Doubles
Luis lvarez de Cervera,"Equestrianism Mixed Jumping, Individual"
Luis lvarez de Cervera,"Equestrianism Mixed Jumping, Team"
Luis lvarez de Cervera,"Equestrianism Mixed Three-Day Event, Individual"
Luis lvarez de Cervera,"Equestrianism Mixed Three-Day Event, Team"
Luis Antonio lvarez Murillo,Archery Men's Individual
Luis Antonio lvarez Murillo,Archery Men's Team
Luisa Mara lvrez Iglesias,"Canoeing Women's Kayak Fours, 500 metres"
Jos Manuel lvarez,Athletics Men's 400 metres
Jos Manuel lvarez,Athletics Men's 4 x 400 metres Relay
Mario V. lvarez Soto,Table Tennis Men's Singles
Mario V. lvarez Soto,Table Tennis Men's Doubles
"Melquades Javier ""Melki"" lvarez Caraballo",Swimming Men's 100 metres Breaststroke
"Melquades Javier ""Melki"" lvarez Caraballo",Swimming Men's 200 metres Breaststroke
Miguel ngel lvarez Villar,Rowing Men's Double Sculls
Nancy Judith lvarez,Triathlon Women's Olympic Distance
Pablo Damin lvarez,"Shooting Men's Air Rifle, 10 metres"
Pablo Damin lvarez,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
Pablo Damin lvarez,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Pierre Alvarez Matorra,Rowing Men's Coxed Eights
Rafael lvarez Serrano,Diving Men's Platform
Rafael lvarez Serrano,Diving Men's Springboard
Roberto Adolfo Alvrez Hojel,Cross Country Skiing Men's 15 kilometres
Roberto Adolfo Alvrez Hojel,Cross Country Skiing Men's 30 kilometres
Roberto Adolfo Alvrez Hojel,Cross Country Skiing Men's 50 kilometres
Roberto Adolfo Alvrez Hojel,Cross Country Skiing Men's 10 kilometres
Roberto Adolfo Alvrez Hojel,Cross Country Skiing Men's 10/15 kilometres Pursuit
Roger Luciano de la Trinidad Alvarez Calvo,Football Men's Football
Rubn lvarez Hoyos,Rowing Men's Lightweight Double Sculls
Samuel lvarez,Boxing Men's Bantamweight
Santiago lvarez Fourcade,Rugby Sevens Men's Rugby Sevens
Sara Yaneisy lvarez Menndez,Judo Women's Half-Middleweight
Sergio lvarez Moya,"Equestrianism Mixed Jumping, Individual"
Sergio lvarez Moya,"Equestrianism Mixed Jumping, Team"
Sergio lvarez Aguilera,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
Sergio lvarez Boulet,Weightlifting Men's Bantamweight
Sonia lvarez,Swimming Women's 200 metres Butterfly
Sonia lvarez,Swimming Women's 200 metres Individual Medley
Valeria lvarez,Swimming Women's 50 metres Freestyle
Valeria lvarez,Swimming Women's 100 metres Freestyle
Valeria lvarez,Swimming Women's 4 x 200 metres Freestyle Relay
Valeria lvarez,Swimming Women's 100 metres Backstroke
Valeria lvarez,Swimming Women's 4 x 100 metres Medley Relay
Vilma lvarez Gngora,Softball Women's Softball
Alfredo lvarez Caldern Wells,Diving Men's Springboard
Arturo lvarez Caldern Wells,Swimming Men's 100 metres Freestyle
Miguel Alvario Garca,Archery Men's Individual
Miguel Alvario Garca,Archery Men's Team
Gilson Alvaristo,"Cycling Men's Road Race, Individual"
Gilson Alvaristo,Cycling Men's 100 kilometres Team Time Trial
lvaro Luiz Maior de Aquino,Football Men's Football
Ana Beln lvaro Bascuana,Basketball Women's Basketball
Juan Jos Alvear Calleja,Hockey Men's Hockey
Yuri Alvear Orjuela,Judo Women's Middleweight
Reidar Jakob Alveberg,Bobsleigh Men's Four
Reidar Jakob Alveberg,Bobsleigh Men's Two
Albino Alver,Alpine Skiing Men's Slalom
Eleonora Alver,Curling Women's Curling
Fabio Alver,Curling Men's Curling
Giorgio Alver,Bobsleigh Men's Two
Giorgio Alver,Bobsleigh Men's Four
Isidoro Alver,Ice Hockey Men's Ice Hockey
Michele Alver,Bobsleigh Men's Four
Renzo Alver,Bobsleigh Men's Two
Renzo Alver,Bobsleigh Men's Four
Silvio Alver,Alpine Skiing Men's Downhill
Silvio Alver,Alpine Skiing Men's Slalom
Silvio Alver,Alpine Skiing Men's Combined
Silvio Alver,Alpine Skiing Men's Giant Slalom
"Frangiskos ""Frankie"" Alvertis",Basketball Men's Basketball
Bruno Eduardo Regufe Alves,Football Men's Football
Carlos Alves Jnior,Football Men's Football
Daniel Jorge Alves,Rowing Men's Double Sculls
Francisco Ferreira Alves,Water Polo Men's Water Polo
Higor Silva Alves,Athletics Men's Long Jump
Jemina Augusto Alves,Judo Women's Lightweight
Juan Jos Alves Gordon,"Cycling Men's Road Race, Individual"
Nuno Alves,Weightlifting Men's Bantamweight
Paulo Loureno Martins Alves,Football Men's Football
Raimundo Nonato Alves,Boxing Men's Featherweight
Thiago Soares Alves,Volleyball Men's Volleyball
Basilio lvez Rodrguez,Boxing Men's Featherweight
Gyula Alvics,Boxing Men's Heavyweight
"Norman Foster Darrell ""Norm"" Alvis",Cycling Men's 100 kilometres Team Time Trial
Alessandro Alvisi,"Equestrianism Men's Jumping, Team"
Alessandro Alvisi,"Equestrianism Men's Jumping, Individual"
Alessandro Alvisi,"Equestrianism Men's Three-Day Event, Individual"
Alessandro Alvisi,"Equestrianism Men's Three-Day Event, Team"
Alejandro Luis Alvizuri Mack,Swimming Men's 100 metres Backstroke
Alejandro Luis Alvizuri Mack,Swimming Men's 200 metres Backstroke
Alejandro Luis Alvizuri Mack,Swimming Men's 200 metres Individual Medley
Rosman Alwi,Cycling Men's Sprint
Rosman Alwi,"Cycling Men's 1,000 metres Time Trial"
Max Bruno Alwin,Rowing Men's Double Sculls
Ahmed Fouad Aly,Weightlifting Men's Middleweight
Ahmed Kamel Aly,Diving Men's Springboard
Ahmed Kamel Aly,Diving Men's Platform
Ahmed Mahmoud Aly,Boxing Men's Light-Heavyweight
Attia El-Sayed Aly,Volleyball Men's Volleyball
Ihab Aly,"Fencing Men's epee, Individual"
Ihab Aly,"Fencing Men's epee, Team"
Mohamed Aly Reda,Boxing Men's Super-Heavyweight
Mohamed Aly,Gymnastics Men's Individual All-Around
Mohamed Aly,Gymnastics Men's Team All-Around
Mohamed Aly,Gymnastics Men's Floor Exercise
Mohamed Aly,Gymnastics Men's Horse Vault
Mohamed Aly,Gymnastics Men's Parallel Bars
Mohamed Aly,Gymnastics Men's Horizontal Bar
Mohamed Aly,Gymnastics Men's Rings
Mohamed Aly,Gymnastics Men's Pommelled Horse
Mohamed Ahmed Adel Aly,"Shooting Men's Free Pistol, 50 metres"
Nariman Aly,Synchronized Swimming Women's Team
Ramadan Aly,Weightlifting Men's Flyweight
Anatoly Nikolayevich Alyabyev,Biathlon Men's 10 kilometres Sprint
Anatoly Nikolayevich Alyabyev,Biathlon Men's 20 kilometres
Anatoly Nikolayevich Alyabyev,Biathlon Men's 4 x 7.5 kilometres Relay
Anna Romzatovna Alyabyeva,Rhythmic Gymnastics Women's Individual
Romanos Iasonas Alyfantis,Swimming Men's 200 metres Breaststroke
Romanos Iasonas Alyfantis,Swimming Men's 100 metres Breaststroke
Romanos Iasonas Alyfantis,Swimming Men's 200 metres Butterfly
Romanos Iasonas Alyfantis,Swimming Men's 400 metres Individual Medley
Nikolay Aleksandrovich Alyokhin,"Fencing Men's Sabre, Team"
Maksim Nikolayevich Alyoshin,Gymnastics Men's Individual All-Around
Maksim Nikolayevich Alyoshin,Gymnastics Men's Team All-Around
Maksim Nikolayevich Alyoshin,Gymnastics Men's Floor Exercise
Maksim Nikolayevich Alyoshin,Gymnastics Men's Horse Vault
Maksim Nikolayevich Alyoshin,Gymnastics Men's Parallel Bars
Maksim Nikolayevich Alyoshin,Gymnastics Men's Horizontal Bar
Maksim Nikolayevich Alyoshin,Gymnastics Men's Rings
Maksim Nikolayevich Alyoshin,Gymnastics Men's Pommelled Horse
Yevgeny Yuryevich Alyoshin,Swimming Men's 100 metres Backstroke
Yevgeny Yuryevich Alyoshin,Swimming Men's 200 metres Backstroke
Ivan Vladimirovich Alypov,Cross Country Skiing Men's Sprint
Ivan Vladimirovich Alypov,Cross Country Skiing Men's 4 x 10 kilometres Relay
Ivan Vladimirovich Alypov,Cross Country Skiing Men's Team Sprint
Murat Alyz,Football Men's Football
Hernn Alzamora Garca,Athletics Men's 110 metres Hurdles
Miguel Alzamora Riera,"Cycling Men's Team Pursuit, 4,000 metres"
Miguel Alzamora Riera,Cycling Men's Madison
Carlos Eduardo Alzate Escobar,"Cycling Men's Individual Pursuit, 4,000 metres"
Charles Alzieu,Athletics Men's Long Jump
"Joseph ""Jos"" Alzin",Weightlifting Men's Heavyweight
Ccile Alzina,Snowboarding Women's Halfpipe
"John C. Amabile, Jr.",Bobsleigh Men's Two
Ren Amabuyok,Swimming Men's 200 metres Breaststroke
Mactabene Amachree,Basketball Women's Basketball
Amadeo Labarta Rey,Football Men's Football
Ferdinand Amadi,Athletics Men's Marathon
Roberto Amadio,"Cycling Men's Team Pursuit, 4,000 metres"
Anthony Stanley Amado,"Wrestling Men's Bantamweight, Greco-Roman"
Carlos Amado Kohli,Rowing Men's Coxed Eights
Isabella del Carmen Amado Medrano,Gymnastics Women's Individual All-Around
Isabella del Carmen Amado Medrano,Gymnastics Women's Floor Exercise
Isabella del Carmen Amado Medrano,Gymnastics Women's Uneven Bars
Isabella del Carmen Amado Medrano,Gymnastics Women's Balance Beam
Rodrigo Amado,Sailing Men's Two Person Dinghy
Andrs Amador Velsco,Shooting Mixed Skeet
Andrey Amador Bikkazakova,"Cycling Men's Road Race, Individual"
Darisleydis Amador Rodrguez,"Canoeing Women's Kayak Singles, 200 metres"
Darisleydis Amador Rodrguez,"Canoeing Women's Kayak Singles, 500 metres"
Mamood Amadu,Football Men's Football
Domingo Amaizn Mastroianni,"Athletics Men's 3,000 metres Steeplechase"
"Wilson ""William"" Amakye",Athletics Men's 800 metres
Eric Amalou,Handball Men's Handball
Ampol Amaluktipituk,Archery Men's Individual
Charles Aman,Rowing Men's Coxless Fours
Hassan Nour-el-Din Aman,Boxing Men's Light-Heavyweight
Junaidah Aman,Athletics Women's 400 metres
Mohammed Aman Geleto,Athletics Men's 800 metres
Simona Amnar (-Tabr),Gymnastics Women's Individual All-Around
Simona Amnar (-Tabr),Gymnastics Women's Team All-Around
Simona Amnar (-Tabr),Gymnastics Women's Floor Exercise
Simona Amnar (-Tabr),Gymnastics Women's Horse Vault
Simona Amnar (-Tabr),Gymnastics Women's Uneven Bars
Simona Amnar (-Tabr),Gymnastics Women's Balance Beam
Rasoul Amani,"Wrestling Men's Lightweight, Greco-Roman"
Mohamed Amanissi,Boxing Men's Super-Heavyweight
Alex Amankwah,Athletics Men's 800 metres
Frank Amankwah,Football Men's Football
Helen Amankwah,Table Tennis Women's Singles
Helen Amankwah,Table Tennis Women's Doubles
Akgul Charievna Amanmuradova,Tennis Women's Singles
Else Amann,Cross Country Skiing Women's 10 kilometres
Else Amann,Cross Country Skiing Women's 3 x 5 kilometres Relay
Max Amann,Water Polo Men's Water Polo
"Richard ""Rick"" Amann",Ice Hockey Men's Ice Hockey
Misa Amano,Swimming Women's 200 metres Individual Medley
Misa Amano,Swimming Women's 400 metres Individual Medley
Shin Amano,Figure Skating Mixed Pairs
Yoshihiro Amano,Athletics Men's 4 x 400 metres Relay
Marielle Amant,Basketball Women's Basketball
Ingrda Amantova,Luge Women's Singles
Baptiste Amar,Ice Hockey Men's Ice Hockey
Khayri Amar,Shooting Mixed Skeet
Larry J. Amar,Hockey Men's Hockey
Mourad Sedegh Amara,Football Men's Football
Prince Amara,Athletics Men's 800 metres
Prince Amara,Athletics Men's 4 x 400 metres Relay
"Alexandre ""Amaral"" da Silva Mariano",Football Men's Football
Aguida Fatima Amaral,Athletics Women's Marathon
Cleide Amaral,Athletics Women's 100 metres
Elsa Maria Meireles Amaral,Athletics Women's 4 x 400 metres Relay
Maria Nelly Amaral,"Shooting Women's Air Pistol, 10 metres"
Maria Nelly Amaral,"Shooting Women's Sporting Pistol, 25 metres"
Rosa Amaral,Handball Women's Handball
Antnio Dcio Amaral Filho,Swimming Men's 100 metres Backstroke
Catello Amarante,Rowing Men's Lightweight Coxless Fours
Daniel Amardeilh,"Cycling Men's Road Race, Individual"
Hailemariyam Amare Tegen,"Athletics Men's 3,000 metres Steeplechase"
Carmen Andreea Amariei (-Lingu),Handball Women's Handball
Gheorghe Amariei,"Wrestling Men's Super-Heavyweight, Greco-Roman"
Martn Amarillas,Boxing Men's Middleweight
Yadinis Amars Rocha,Judo Women's Lightweight
Miguel Amarista Varga,Boxing Men's Light-Welterweight
Nauraj Singh Randhawa Amarjit Singh,Athletics Men's High Jump
Prince Amartey,Boxing Men's Light-Middleweight
Prince Amartey,Boxing Men's Middleweight
Francisco Amat Fontanals,Hockey Men's Hockey
Jaime Santiago Amat Durn,Hockey Men's Hockey
Jaime Amat Fontanals,Hockey Men's Hockey
Jean-Pierre Bernard Andr Amat,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
Jean-Pierre Bernard Andr Amat,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Jean-Pierre Bernard Andr Amat,"Shooting Men's Air Rifle, 10 metres"
Juan Amat Fontanals,Hockey Men's Hockey
Pedro Amat Fontanals,Hockey Men's Hockey
"Pablo ""Pol"" Amat Escud",Hockey Men's Hockey
Santiago Amat Cansino,Sailing Mixed One Person Dinghy
Santiago Amat Cansino,Sailing Mixed 6 metres
Eyawomano Doreen Amata,Athletics Women's High Jump
Antonio Amato,Rowing Men's Coxed Eights
Elena Amato,Rhythmic Gymnastics Women's Group
Serena Bibiana Amato,Sailing Women's One Person Dinghy
Amauri Ribeiro,Volleyball Men's Volleyball
Amaury Antnio Pasos,Basketball Men's Basketball
Jos Emilio Amavisca Grate,Football Men's Football
Angel Amaya,Boxing Men's Bantamweight
Dolores Amaya,Rowing Women's Double Sculls
Ivn Amaya Carazo,Football Men's Football
Jorge Horacio Amaya Young,"Equestrianism Mixed Jumping, Individual"
Lorenzo Amaya Toledo,"Shooting Men's Rapid-Fire Pistol, 25 metres"
Roberto Oscar Amaya,Boxing Men's Light-Welterweight
Henri Amazouze,Canoeing Men's Kayak Relay 4 x 500 metres
Kim Oscar Amb,Athletics Men's Javelin Throw
Kongolo Amba,Basketball Women's Basketball
"William ""Willy"" Ambaka Ndayara",Rugby Sevens Men's Rugby Sevens
Suleman Ambaye,"Cycling Men's Road Race, Individual"
Suleman Ambaye,Cycling Men's 100 kilometres Team Time Trial
Mubarak Ismail Amber,Athletics Men's 4 x 400 metres Relay
Michael John Amberg,"Fencing Men's Sabre, Individual"
Michael John Amberg,"Fencing Men's Sabre, Team"
Charles Henri Adrien Amberger,Cycling Men's Sprint
Eloise Michelle Amberger,Synchronized Swimming Women's Team
Eloise Michelle Amberger,Synchronized Swimming Women's Duet
Georg Wilhelm Amberger,"Athletics Men's 1,500 metres"
Georg Wilhelm Amberger,"Athletics Men's 3,000 metres, Team"
Georgios Ambet,"Fencing Men's epee, Individual"
Georgios Ambet,"Fencing Men's epee, Team"
Georgios Ambet,"Fencing Men's Sabre, Team"
Golam Ambia,Athletics Men's 100 metres
Golam Ambia,Athletics Men's 4 x 100 metres Relay
Serge Ambomo,Boxing Men's Light-Welterweight
Mal Ambonguilat,Swimming Men's 50 metres Freestyle
Rocco Roberto Amboni,Gymnastics Men's Individual All-Around
Rocco Roberto Amboni,Gymnastics Men's Floor Exercise
Rocco Roberto Amboni,Gymnastics Men's Horse Vault
Rocco Roberto Amboni,Gymnastics Men's Parallel Bars
Rocco Roberto Amboni,Gymnastics Men's Horizontal Bar
Rocco Roberto Amboni,Gymnastics Men's Rings
Rocco Roberto Amboni,Gymnastics Men's Pommelled Horse
Adolphe Ambowod,Athletics Men's Marathon
Gunter Ambra,Weightlifting Men's Lightweight
Amedeo Ambron,Water Polo Men's Water Polo
Harald Ambros,"Equestrianism Mixed Three-Day Event, Individual"
Harald Ambros,"Equestrianism Mixed Three-Day Event, Team"
Krystyna Ambros (-urek),Rowing Women's Coxed Eights
Paul Ambros,Ice Hockey Men's Ice Hockey
Klaus Ambrosch,Athletics Men's Decathlon
"Efetobore ""Efe"" Ambrose Emuobo",Football Men's Football
Bianca Ambrosetti,Gymnastics Women's Team All-Around
Christie Ambrosi,Softball Women's Softball
Giampaolo Ambrosi,Luge Men's Singles
Giampaolo Ambrosi,Luge Mixed (Men)'s Doubles
Ernesto Ambrosini,Athletics Men's 800 metres
Ernesto Ambrosini,"Athletics Men's 3,000 metres Steeplechase"
Ernesto Ambrosini,"Athletics Men's 3,000 metres, Team"
Massimo Ambrosini,Football Men's Football
Tito Ambrosini,Water Polo Men's Water Polo
Felizardo Silvestre Bumba Ambrsio,Basketball Men's Basketball
Sandra Ambrosio Monica,"Cycling Women's Mountainbike, Cross-Country"
Bartolo Ambrosione,"Equestrianism Mixed Three-Day Event, Individual"
Bartolo Ambrosione,"Equestrianism Mixed Three-Day Event, Team"
Jen Ambrzi,Weightlifting Men's Lightweight
Ewa Ambroziak,Rowing Women's Single Sculls
Zdzisaw Stanisaw Ambroziak,Volleyball Men's Volleyball
Roman Ambroi,Rowing Men's Coxed Pairs
Sndor Ambrzy,"Art Competitions Mixed Sculpturing, Statues"
Ferencz Ambru,Boxing Men's Light-Welterweight
Ludovic Ambru,"Wrestling Men's Welterweight, Freestyle"
Mariann Ambrus-Feket,Rowing Women's Single Sculls
Mikls Ambrus,Water Polo Men's Water Polo
"Antonio ""Antonino"" Ambu",Athletics Men's Marathon
Andres Ambhl,Ice Hockey Men's Ice Hockey
Elias Ambhl,Freestyle Skiing Men's Slopestyle
Gaudenz Ambhl,Cross Country Skiing Men's 30 kilometres
Gaudenz Ambhl,Cross Country Skiing Men's 50 kilometres
Gaudenz Ambhl,Cross Country Skiing Men's 4 x 10 kilometres Relay
"Heinrich ""Heinz"" Ambhl","Shooting Men's Free Pistol, 50 metres"
Joos Ambhl,Cross Country Skiing Men's 4 x 10 kilometres Relay
Paulus Natangwe Ambunda,Boxing Men's Flyweight
Jean Ame,Shooting Mixed Trap
Jos Ramn Amedo Fernndez,"Shooting Mixed Free Pistol, 50 metres"
Jamal Hussayn Ameen,"Fencing Men's Foil, Individual"
Jamal Hussayn Ameen,"Fencing Men's Foil, Team"
Solomon Amegatcher,Athletics Men's 400 metres
Solomon Amegatcher,Athletics Men's 4 x 400 metres Relay
Sabrina Ameghino,"Canoeing Women's Kayak Singles, 200 metres"
Sabrina Ameghino,"Canoeing Women's Kayak Fours, 500 metres"
Koukou Franck Amgnigan,Athletics Men's 4 x 100 metres Relay
Koukou Franck Amgnigan,Athletics Men's 100 metres
Ajuma Ameh,Football Women's Football
Karl Ameisbichler,Boxing Men's Heavyweight
"Samuel Lee ""Sammy Lee"" Amekudji",Boxing Men's Lightweight
Shenny Ratna Amelia,Diving Women's Platform
Karl-Robert Ameln,Sailing Mixed 6 metres
Rolf-Dieter Amend,"Canoeing Men's Canadian Doubles, Slalom"
Orlando Amndola,Water Polo Men's Water Polo
Orlando Amndola,Swimming Men's 100 metres Freestyle
Salvador Amendola Filho,Water Polo Men's Water Polo
Moustafa Amin Amer,Swimming Men's 4 x 100 metres Freestyle Relay
Moustafa Amin Amer,Swimming Men's 100 metres Backstroke
Maha Amer,Diving Women's Springboard
Mohamed Amer,"Fencing Men's Sabre, Individual"
Mohamed Mahmoud Amer,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
Mohamed Abdelraham Sayed Amer,Handball Men's Handball
Moustafa Amer,Swimming Men's 100 metres Freestyle
Moustafa Amer,Swimming Men's 200 metres Freestyle
Moustafa Amer,Swimming Men's 4 x 100 metres Freestyle Relay
Musa (Moses-) Obaid Amer (Kipkirui-),"Athletics Men's 3,000 metres Steeplechase"
Noor Amer Al-Ameri,"Shooting Women's Air Pistol, 10 metres"
Nourhan Muhammad Mahmud Amer,"Shooting Women's Air Rifle, 10 metres"
Vijitha Padmini Amerasekera,Athletics Women's Javelin Throw
Christine Amertil (-Ling),Athletics Women's 400 metres
Christine Amertil (-Ling),Athletics Women's 4 x 100 metres Relay
Christine Amertil (-Ling),Athletics Women's 4 x 400 metres Relay
David Vincent Leslie Ames,Hockey Men's Hockey
Percy Gerald Ames,"Fencing Men's epee, Individual"
"Ronald William ""Ron"" Amess",Ice Hockey Men's Ice Hockey
John A. Ametepey,Athletics Men's 800 metres
Raffaele Ametrano,Football Men's Football
Hamoud Ameur,"Athletics Men's 5,000 metres"
Hamoud Ameur,"Athletics Men's 10,000 metres"
Mohamed Ameur,Athletics Men's 20 kilometres Walk
Eric Donu Amevor,"Athletics Men's 1,500 metres"
Jessica L. Amey,Swimming Women's 100 metres Butterfly
Peter E. Amey,"Wrestling Men's Welterweight, Freestyle"
Jules Amez-Droz,"Fencing Men's Sabre, Individual"
Jules Amez-Droz,"Fencing Men's Sabre, Team"
Jules Amez-Droz,"Fencing Men's epee, Individual"
Jules Amez-Droz,"Fencing Men's epee, Team"
Hilda Amezaga Harfuch,Gymnastics Women's Individual All-Around
Hilda Amezaga Harfuch,Gymnastics Women's Team All-Around
Hilda Amezaga Harfuch,Gymnastics Women's Floor Exercise
Hilda Amezaga Harfuch,Gymnastics Women's Horse Vault
Hilda Amezaga Harfuch,Gymnastics Women's Uneven Bars
Hilda Amezaga Harfuch,Gymnastics Women's Balance Beam
Alejandro Amezcua Carried,"Canoeing Men's Kayak Fours, 1,000 metres"
Norma Amezcua Guajardo,Swimming Women's 400 metres Freestyle
Norma Amezcua Guajardo,Swimming Women's 800 metres Freestyle
Norma Amezcua Guajardo,Swimming Women's 4 x 100 metres Freestyle Relay
Norma Amezcua Guajardo,Swimming Women's 400 metres Individual Medley
Norma Amezcua Guajardo,Swimming Women's 100 metres Butterfly
Norma Amezcua Guajardo,Swimming Women's 4 x 100 metres Medley Relay
Faustino Amiano Calvo,Rowing Men's Coxed Eights
Ana Amicarella (-Burns),Synchronized Swimming Women's Solo
Francesco Amici,Shooting Mixed Trap
Francesco Amici,Shooting Men's Trap
Ugo Amicosante,"Shooting Men's Rapid-Fire Pistol, 25 metres"
Ugo Amicosante,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
Audrey Amiel,Rugby Sevens Women's Rugby Sevens
Eliahu Amiel,Basketball Men's Basketball
Adokie Amiesimaka,Football Men's Football
Sbastien Amiez,Alpine Skiing Men's Slalom
Henry Amike,Athletics Men's 400 metres Hurdles
Henry Amike,Athletics Men's 4 x 400 metres Relay
Fuad Anwar Amin,Football Men's Football
Jehangoo Amin,"Cycling Men's Team Pursuit, 4,000 metres"
Mohamed Amin,Boxing Men's Light-Heavyweight
Mohamed Salah Amin,Boxing Men's Featherweight
Mashallah Amin Sorour,"Cycling Men's Road Race, Individual"
Mashallah Amin Sorour,Cycling Men's 100 kilometres Team Time Trial
Sandro Aminashvili,"Wrestling Men's Light-Heavyweight, Freestyle"
Nazem Amine,"Wrestling Men's Lightweight, Freestyle"
Amir Amini,Basketball Men's Basketball
Vladislav Viktorovich Aminov,Swimming Men's 4 x 100 metres Medley Relay
Al-Farouq Ajiede Aminu,Basketball Men's Basketball
"Abdul Wahab ""Alade"" Aminu",Basketball Men's Basketball
Eldad Amir,Sailing Mixed Two Person Heavyweight Dinghy
Mamadou Amir,Water Polo Men's Water Polo
Mohamed Amir,Athletics Men's 400 metres
Mohamed Amir,Athletics Men's 4 x 400 metres Relay
Nina Amir,Sailing Women's Two Person Dinghy
Hasli Izwan Amir Hasan,"Shooting Men's Rapid-Fire Pistol, 25 metres"
Iraj Amir-Akhori,"Cycling Men's Road Race, Individual"
Bbak Amir-Tahmasseb,"Canoeing Men's Kayak Doubles, 500 metres"
Bbak Amir-Tahmasseb,"Canoeing Men's Kayak Doubles, 1,000 metres"
Bbak Amir-Tahmasseb,"Canoeing Men's Kayak Singles, 500 metres"
Bbak Amir-Tahmasseb,"Canoeing Men's Kayak Singles, 1,000 metres"
Slava Lvovich Amiragov,Rowing Men's Coxed Eights
Pantelis Amiras,Athletics Men's Standing Long Jump
Mansour Amirasefi,Football Men's Football
Benik Amirian,Alpine Skiing Men's Downhill
Benik Amirian,Alpine Skiing Men's Giant Slalom
Benik Amirian,Alpine Skiing Men's Slalom
Samira Amirova,Rhythmic Gymnastics Women's Group
Zamira Shamiliyevna Amirova,Athletics Women's 4 x 400 metres Relay
Zamira Shamiliyevna Amirova,Athletics Women's 400 metres
Mobange Amisi,"Cycling Men's Road Race, Individual"
Mobange Amisi,Cycling Men's 100 kilometres Team Time Trial
Loc Amisse,Football Men's Football
Salvatore Amitrano,Rowing Men's Lightweight Coxless Fours
"Timothy ""Tim"" Amitrano","Equestrianism Mixed Jumping, Individual"
Savitree Amitrapai,Badminton Mixed Doubles
Mathilde Amivi Petitjean,Cross Country Skiing Women's 10 kilometres
Naeem Amjad,Hockey Men's Hockey
"Joseph Brian ""Joe"" Amlong",Rowing Men's Coxed Eights
"Thomas Kennedy ""Tom"" Amlong",Rowing Men's Coxed Eights
