Mohamed Jamshid Abadi,Boxing Men's Heavyweight
Antonio Abadia Beci,"Athletics Men's 5,000 metres"
Ren Abadie,"Cycling Men's Road Race, Individual"
Ren Abadie,"Cycling Men's Road Race, Team"
Borislav Abadzhiev,Boxing Men's Light-Welterweight
Georgi Abadzhiev,"Cycling Men's Road Race, Individual"
Georgi Abadzhiev,"Cycling Men's Road Race, Team"
Ivan Nikolov Abadzhiev,Weightlifting Men's Lightweight
Ivan Nikolov Abadzhiev,Weightlifting Men's Middleweight
Mikhail Abadzhiev,Weightlifting Men's Middleweight
Stefan Abadzhiev,Football Men's Football
Giovanni Abagnale,Rowing Men's Coxless Pairs
Jos Luis Abajo Gmez,"Fencing Men's epee, Individual"
M'Bairo Abakar,Judo Men's Half-Middleweight
Patimat Abakarova,Taekwondo Women's Flyweight
Mohamed Abakkar,Boxing Men's Flyweight
Mariya Vasilyevna Abakumova (-Tarabina),Athletics Women's Javelin Throw
Pablo Martn Abal,Swimming Men's 100 metres Butterfly
Pablo Martn Abal,Swimming Men's 4 x 100 metres Medley Relay
Tamara Abalde Daz,Basketball Women's Basketball
Jess Iory Aball Martnez,Diving Men's Platform
Juan Antonio Aball Delgado,"Canoeing Men's Canadian Doubles, 500 metres"
Juan Antonio Aball Delgado,"Canoeing Men's Canadian Doubles, 1,000 metres"
Aleksey Aleksandrovich Abalmasov,"Canoeing Men's Kayak Fours, 1,000 metres"
Luc Abalo,Handball Men's Handball
Mara Laura Abalo,Rowing Women's Coxless Pairs
Giorgos Abalof,"Fencing Men's epee, Individual"
Jouan Patrice Abanda Etong,Football Men's Football
Antoine Abang,Boxing Men's Middleweight
Salim Abanoz,Judo Men's Lightweight
Carlos Abarca Gonzlez,Boxing Men's Featherweight
Jos Mara Abarca Plotas,Water Polo Men's Water Polo
Georgios Abaris,Football Men's Football
Enrique Abaroa Martnez,Tennis Men's Doubles
Carlos Arturo Abarza Chavez,Shooting Mixed Skeet
Stephen Anthony Abas,"Wrestling Men's Featherweight, Freestyle"
