Water Polo,Water Polo Women's Water Polo
Figure Skating,Figure Skating Men's Singles
Weightlifting,Weightlifting Men's Heavyweight
Equestrianism,"Equestrianism Mixed Three-Day Event, Individual"
Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
Figure Skating,Figure Skating Mixed Team
Sailing,Sailing Women's Three Person Keelboat
Cycling,"Cycling Women's Road Race, Individual"
Golf,Golf Women's Individual
Softball,Softball Women's Softball
Archery,Archery Women's Individual
Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
Volleyball,Volleyball Men's Volleyball
Taekwondo,Taekwondo Women's Heavyweight
Synchronized Swimming,Synchronized Swimming Women's Duet
Synchronized Swimming,Synchronized Swimming Women's Team
Taekwondo,Taekwondo Women's Featherweight
Athletics,Athletics Men's Marathon
Athletics,Athletics Men's 4 x 400 metres Relay
Athletics,"Athletics Men's 10,000 metres"
Athletics,"Athletics Women's 3,000 metres"
Diving,Diving Women's Platform
Shooting,"Shooting Men's Air Rifle, 10 metres"
Athletics,Athletics Men's 200 metres
Weightlifting,Weightlifting Men's Flyweight
Swimming,Swimming Men's 100 metres Backstroke
Weightlifting,Weightlifting Men's Light-Heavyweight
Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
Fencing,"Fencing Men's Sabre, Individual"
Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman"
Shooting,"Shooting Men's Free Pistol, 50 metres"
Shooting,"Shooting Men's Air Pistol, 10 metres"
Rowing,Rowing Men's Coxless Fours
Boxing,Boxing Men's Light-Flyweight
Boxing,Boxing Men's Super-Heavyweight
Wrestling,"Wrestling Men's Flyweight, Greco-Roman"
Shooting,"Shooting Women's Air Rifle, 10 metres"
Weightlifting,Weightlifting Men's Middle-Heavyweight
Athletics,Athletics Men's Javelin Throw
Volleyball,Volleyball Women's Volleyball
Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
Athletics,"Athletics Men's 3,000 metres Steeplechase"
Wrestling,"Wrestling Men's Middleweight, Freestyle"
Swimming,Swimming Women's 100 metres Backstroke
Swimming,Swimming Women's 200 metres Backstroke
Swimming,Swimming Women's 4 x 100 metres Medley Relay
Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
Modern Pentathlon,Modern Pentathlon Men's Team
Boxing,Boxing Men's Bantamweight
Athletics,Athletics Women's 200 metres
