0,47
1,37
2,16
3,4
4,5
5,36
6,3
7,16
8,12
9,38
10,4
11,43
12,35
13,12
14,18
15,26
16,44
17,2
18,44
19,2
20,43
21,14
22,4
23,33
24,32
25,43
26,23
27,24
28,45
29,31
2760,43
31,44
32,15
33,5
34,23
35,4
36,18
37,43
38,4
39,36
40,4
41,43
42,3
43,17
44,19
45,3
46,4
47,43
48,24
49,30
50,43
51,43
52,9
53,43
54,43
55,13
56,20
57,43
58,5
59,5
60,23
61,43
62,4
63,29
64,3
65,3
66,35
67,43
68,43
69,4
70,22
71,36
72,26
73,43
74,20
75,38
76,4
77,22
78,24
79,4
80,4
81,10
82,9
83,9
84,3
85,3
86,43
87,42
88,4
89,36
90,4
91,27
92,0
93,43
94,34
95,9
96,43
97,21
98,43
99,42
100,5
101,47
102,4
103,1
104,4
105,16
106,38
107,42
108,3
109,20
110,43
111,25
112,37
113,9
114,3
115,13
116,44
117,27
118,24
119,22
120,19
121,43
122,27
123,43
124,1
125,1
126,43
127,32
128,15
129,9
130,18
131,10
132,10
133,1
134,38
135,29
136,48
137,36
138,33
139,9
140,4
141,25
142,10
143,15
144,4
145,40
146,24
147,3
148,24
149,27
150,3
151,22
152,43
153,25
154,4
155,14
156,20
157,3
158,9
159,4
160,48
161,4
162,29
163,48
164,5
165,9
166,3
167,4
168,36
169,8
170,10
171,27
172,5
173,9
174,35
175,18
176,10
177,4
178,20
179,42
180,4
181,3
182,1
183,1
184,4
185,7
186,4
187,24
188,4
189,4
190,49
191,48
192,43
193,25
194,23
195,27
196,37
197,27
198,4
199,43
200,4
201,3
202,9
203,4
204,1
1724,35
206,13
207,9
208,47
209,4
210,18
211,36
212,3
213,3
214,34
215,15
216,35
217,4
218,37
219,34
220,4
221,45
222,4
223,48
224,10
225,40
226,4
227,3
228,16
229,4
230,4
231,49
232,19
233,4
234,9
235,4
236,19
237,17
238,35
239,37
240,9
241,43
242,20
243,4
244,31
245,14
1065,36
247,18
248,14
249,45
250,14
251,4
252,32
253,40
254,3
255,4
256,15
257,18
258,13
259,36
260,43
261,10
262,4
263,4
264,9
265,15
266,38
267,40
268,4
269,16
270,36
271,15
272,36
273,27
274,14
275,43
276,2
277,9
278,40
279,43
280,24
281,5
282,4
283,4
284,14
285,4
286,24
287,3
288,9
289,17
290,29
291,43
292,47
293,40
294,4
295,31
296,45
297,3
298,34
299,43
300,5
301,4
302,36
303,4
304,4
305,37
306,36
307,5
308,43
309,34
310,9
311,36
312,4
313,4
314,22
315,35
316,18
317,14
318,36
319,3
320,4
321,10
322,45
323,42
324,4
325,43
326,8
327,44
328,43
329,43
330,32
331,17
332,47
333,4
334,4
335,45
336,27
337,34
338,4
339,3
340,34
341,18
342,23
343,47
344,20
345,43
346,9
347,9
348,4
349,11
350,22
351,9
352,14
353,4
354,14
355,4
356,9
357,32
358,45
359,2
360,5
361,38
362,17
363,29
364,35
365,50
366,43
367,9
368,40
369,31
370,40
371,38
372,24
373,3
374,22
375,43
376,1
377,34
378,18
379,47
380,31
381,36
382,10
383,4
384,4
385,40
386,5
387,10
388,22
389,31
390,36
391,37
392,3
393,42
394,43
395,34
396,19
397,43
398,43
399,43
400,31
401,4
402,32
403,4
404,49
405,9
406,4
407,43
408,5
409,4
410,9
411,47
412,4
413,3
414,35
415,43
416,35
417,12
418,34
419,9
420,9
421,43
422,31
423,15
424,15
425,17
426,43
427,4
428,9
429,4
430,4
431,28
432,1
433,32
434,34
435,19
436,35
437,5
438,14
439,4
440,43
441,27
442,4
443,10
444,38
445,15
446,16
447,43
448,29
449,45
450,20
451,4
452,34
453,43
454,36
455,37
456,34
457,27
458,37
459,37
460,19
461,4
462,9
463,4
464,31
465,9
466,4
467,36
468,42
469,45
470,33
471,4
472,43
473,4
474,43
475,36
476,30
477,4
478,4
479,4
480,43
481,3
482,43
483,4
484,43
485,31
486,24
487,17
488,37
489,27
490,44
491,3
492,14
493,4
494,24
495,4
496,33
497,10
498,14
499,4
500,5
